symbol,setup,direction,entry_dt,exit_dt,entry_price,stop_price,tp_price,exit_price,outcome,r_multiple,pnl_pct,balance_after
ETHUSDT,gap,long,2024-11-19T09:52:00-05:00,2024-11-19T09:53:00-05:00,3111.57,3108.4549950000005,3117.8000099999995,3108.4549950000005,SL,-1.0,-1.0,9889.79
ETHUSDT,first5,long,2024-11-19T10:49:00-05:00,2024-11-19T10:54:00-05:00,3108.79,3102.0382050000003,3122.2935899999993,3102.0382050000003,SL,-1.0,-1.0,9790.89
ETHUSDT,gap,long,2024-11-20T09:43:00-05:00,2024-11-20T10:06:00-05:00,3111.4,3102.178135,3129.84373,3102.178135,SL,-1.0,-1.0,9692.98
ETHUSDT,gap,long,2024-11-20T10:15:00-05:00,2024-11-20T10:16:00-05:00,3102.86,3099.08968,3110.4006400000003,3099.08968,SL,-1.0,-1.0,9596.05
ETHUSDT,gap,short,2024-11-21T09:54:00-05:00,2024-11-21T09:55:00-05:00,3340.89,3340.959645,3340.75071,3340.959645,SL,-1.0,-1.0,9500.09
ETHUSDT,gap,short,2024-11-21T10:17:00-05:00,2024-11-21T10:22:00-05:00,3324.87,3331.2948149999997,3312.02037,3312.02037,TP,2.0,2.0,9690.09
ETHUSDT,gap,short,2024-11-22T09:36:00-05:00,2024-11-22T10:16:00-05:00,3295.69,3314.3563499999996,3258.357300000001,3314.3563499999996,SL,-1.0,-1.0,9593.19
ETHUSDT,gap,long,2024-11-22T10:17:00-05:00,2024-11-22T10:22:00-05:00,3313.93,3299.56939,3342.6512199999993,3299.56939,SL,-1.0,-1.0,9497.26
ETHUSDT,gap,long,2024-11-23T12:28:00-05:00,2024-11-23T12:53:00-05:00,3430.54,3423.3274800000004,3444.965039999999,3423.3274800000004,SL,-1.0,-1.0,9402.29
ETHUSDT,gap,long,2024-11-23T14:51:00-05:00,2024-11-23T14:54:00-05:00,3416.8,3408.8847050000004,3432.6305899999998,3408.8847050000004,SL,-1.0,-1.0,9308.27
ETHUSDT,gap,long,2024-11-24T10:56:00-05:00,2024-11-24T10:59:00-05:00,3302.0,3295.8812350000003,3314.2375299999994,3295.8812350000003,SL,-1.0,-1.0,9215.19
ETHUSDT,gap,long,2024-11-24T11:22:00-05:00,2024-11-24T11:26:00-05:00,3312.39,3307.575385,3322.0192299999994,3322.0192299999994,TP,2.0,2.0,9399.49
ETHUSDT,gap,long,2024-11-25T10:41:00-05:00,2024-11-25T10:53:00-05:00,3465.32,3449.7742500000004,3496.4114999999997,3496.4114999999997,TP,2.0,2.0,9587.48
